customer_id,contact_number
681AA,3418269515
002CA,7778270536
763CA,4272267024
090DA,8175524211
126DA,8901422785
219DA,8123793949
427DA,2400359383
443DA,5936453772
579DA,7686954979
004EA,6525974564
436EA,3613744012
677EA,5683122127
758EA,7044060602
769EA,9623737407
899EA,3861673028
907EA,1329045911
931EA,8948512785
721FA,6032136880
798FA,7358737485
852FA,9834006143
362GA,6870297682
629GA,8100702676
738GA,7083913022
860GA,6122251745
951GA,2384124641
959GA,6936426948
107HA,9888155340
359HA,8319167344
499HA,6022410526
542HA,4809733814
544HA,9069614976
627HA,5678003018
719HA,6863758896
808HA,4385956959
814HA,2615827408
954HA,3009442195
060IA,6444336915
124IA,7156020032
172IA,9434910269
196IA,5558077453
268IA,5262211899
435IA,8591588369
514IA,5037024639
532IA,8495116255
533IA,6413894872
551IA,7934201646
598IA,7227468460
602IA,7064073693
607IA,9065541217
617IA,5887106808
619IA,9005074045
636IA,7681396612
643IA,8374368452
648IA,7415873100
674IA,2021386690
698IA,8471435674
733IA,6209721466
826IA,7070322816
883IA,9451767300
906IA,4847566205
995IA,4599751506
107JA,1376131487
124JA,5138493410
149JA,3889462133
196JA,1864833315
204JA,7753591406
215JA,3099301077
256JA,2661425142
360JA,1244092189
419JA,1663207168
432JA,5786364852
694JA,5157792590
733JA,3926052609
792JA,3322385542
794JA,7434680293
806JA,2525761727
811JA,2972188752
812JA,2889834058
836JA,2057136674
841JA,2320517240
878JA,4251867580
902JA,3918766177
904JA,6166129201
914JA,1465917135
985JA,7887437297
998JA,7034475726
061KA,2816022565
069KA,4338418247
144KA,9586501930
227KA,5283589748
239KA,7716769189
254KA,9169916372
277KA,9472678058
353KA,1425869588
402KA,6238261777
435KA,2422239977
614KA,8460380580
659KA,5889761218
704KA,4385195230
879KA,3944760672
885KA,1807008076
936KA,7369608657
937KA,4546502536
020LA,7644147136
046LA,8736485385
081LA,4645721193
247LA,5769041532
393LA,3793355107
430LA,6305670534
449LA,7430745449
492LA,6157118078
547LA,4113554097
716LA,5124274546
737LA,4853621041
752LA,8860310590
937LA,6116113191
984LA,8060110756
057MA,5056660835
058MA,9166665046
133MA,3494517119
139MA,8916935395
395MA,3813026593
433MA,4422418877
501MA,7422730782
532MA,3106752129
541MA,4251490983
549MA,8457824722
586MA,4021045083
587MA,9046770774
589MA,1696897294
605MA,3606972120
612MA,8678297234
621MA,7063706135
643MA,5331190058
665MA,6555270116
702MA,2677725321
717MA,1188603698
725MA,4215432456
726MA,5162522055
727MA,2911033941
742MA,8823574316
758MA,1718624837
763MA,9121508184
806MA,1528168820
826MA,7713507220
904MA,8383199266
921MA,9697438150
934MA,5366190088
975MA,4756898458
002NA,3338446268
027NA,5594249530
030NA,1594907518
042NA,5992082933
047NA,5722113580
055NA,6801693620
088NA,1974905612
089NA,3951059775
131NA,4613945156
134NA,6321295407
159NA,7049508914
165NA,2124272309
196NA,6065375327
217NA,4078335751
220NA,9753594142
227NA,6149428288
231NA,8813601578
262NA,9538929585
263NA,8320686407
264NA,7149814945
269NA,9260689415
276NA,2232111185
317NA,8761622500
333NA,6253938162
375NA,6734075322
399NA,6037977079
423NA,7945182708
431NA,6560517400
438NA,3135267366
457NA,3843009184
493NA,1912944907
531NA,9948630655
545NA,2873561660
551NA,4887794466
557NA,8249248919
621NA,3954571021
627NA,7326380613
699NA,2582528121
734NA,4254175405
737NA,3553427068
741NA,9866280269
744NA,9034438062
772NA,9866392370
789NA,8254762904
799NA,2367566508
820NA,7633362182
822NA,3805868459
859NA,7540317647
918NA,8976662488
925NA,9943806681
927NA,3050782543
928NA,2633488653
949NA,3958981915
958NA,6962806048
965NA,1527190175
993NA,2292898808
996NA,2013852982
002OA,7253886665
005OA,9818896617
026OA,2655625090
050OA,7285165735
067OA,8072147127
123OA,3425012293
132OA,3385219745
179OA,9044989138
208OA,1479414447
213OA,3210384408
220OA,3470236265
222OA,8563943765
227OA,1254897752
262OA,8373592503
269OA,1686304596
274OA,7787470993
344OA,7354304683
359OA,9861700974
368OA,2124185552
430OA,6611245231
447OA,3586564549
470OA,1169318706
475OA,1452879926
505OA,9196496670
523OA,1330942120
554OA,6687628750
582OA,6775233047
583OA,3128580632
592OA,9419636946
596OA,5431970930
643OA,7762112128
656OA,1138906318
660OA,6039330478
684OA,9134884051
712OA,4829809563
729OA,9587159476
733OA,1217757624
744OA,1618017342
749OA,8831230695
755OA,7385128898
758OA,2152190010
760OA,3045530928
762OA,4507551607
795OA,1499823243
801OA,8141615422
811OA,8003011130
815OA,9450491901
829OA,6562740457
837OA,8715509746
842OA,3200953682
849OA,2877223684
878OA,3255399870
879OA,6963939694
880OA,3140447351
881OA,1894532309
898OA,1813243996
923OA,6527564177
943OA,7995143142
944OA,7073220240
954OA,2467178886
970OA,8180596616
980OA,6149708448
990OA,7490198755
991OA,2081759417
010PA,9281017645
017PA,3167551305
031PA,7977583455
033PA,8047068869
107PA,3283077989
126PA,2916645413
157PA,6725783457
176PA,8211623532
187PA,3493337228
191PA,7616033167
196PA,2501244448
215PA,1152462859
247PA,1615532587
254PA,7841746145
269PA,3455944669
293PA,1465551485
310PA,2298040627
321PA,7482587315
322PA,9451662192
342PA,4017455630
344PA,8051989299
347PA,4521619515
349PA,4418746360
350PA,2717945163
357PA,5892275610
363PA,4423619383
387PA,1351664736
392PA,6765188892
393PA,4722218485
400PA,6067211267
404PA,3530041883
424PA,6862600494
429PA,8339427713
436PA,6085709716
458PA,2268240430
461PA,6354045204
482PA,8256154122
509PA,4161914075
534PA,4975973907
558PA,8721065722
566PA,1401084872
584PA,8851579490
589PA,5469702425
633PA,2089875174
642PA,6420920507
695PA,8255678293
701PA,2155284263
704PA,7209297845
708PA,2691300783
724PA,8731622327
810PA,7453415185
817PA,9338062911
826PA,8419008262
832PA,4612335564
835PA,2656815318
879PA,7912654369
913PA,2676211473
935PA,1787903237
945PA,6805128422
951PA,9372423482
961PA,6955878660
986PA,2904071603
006QA,4343231161
011QA,1409762392
016QA,5797895401
023QA,7423880895
028QA,3876794347
031QA,1934733118
054QA,4091465256
056QA,4400841727
061QA,4830747701
083QA,1125664656
139QA,4938190393
141QA,9002365092
176QA,3178152321
179QA,4230993125
181QA,6237853514
183QA,2889491330
193QA,9352915383
239QA,3422541819
254QA,6141977243
278QA,5699797988
287QA,1918609267
306QA,7176802295
318QA,7235449789
337QA,9340493702
366QA,7563104864
421QA,1241449782
430QA,7135268246
437QA,1594985977
501QA,3065421758
505QA,3134606216
539QA,1877791328
593QA,7701278021
